RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B3-024331,2013/03/21 00:00:00+00,757,"W SUPERIOR,TECHNOLOGY to N 1",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2114
B3-023597,2013/03/18 00:00:00+00,1430,S 22 at A,NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2115
B3-028796,2013/04/01 00:00:00+00,1610,PINE LAKE at S 20,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2116
B3-027208,2013/03/28 00:00:00+00,1725,N 48 at W,NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,2117
B3-026532,2013/03/26 00:00:00+00,1312,N 61 at JUDSON,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,2118
B3-025782,2013/03/24 00:00:00+00,238,"Y,N 27 to N 28",INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,2119
B3-025008,2013/03/21 00:00:00+00,1000,"FOXTAIL DR,LAROCHE RD to FRANCISCAN DR",INJURY,HEAD ON,2,1,NO,NO,NO,NO,NO,YES,NO,2120
B3-027860,2013/03/30 00:00:00+00,9999,6100 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2121
B3-024357,2013/03/21 00:00:00+00,755,I 180 at CORNHUSKER,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2122
B3-023602,2013/03/18 00:00:00+00,1546,"CORNHUSKER,N 14 to YOLANDE",INJURY,HEAD ON,3,2,NO,NO,NO,NO,NO,YES,NO,2123
B3-028801,2013/04/01 00:00:00+00,1655,S 48 at RANDOLPH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2124
B3-027212,2013/03/28 00:00:00+00,1730,"S 70,L to O",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,2125
B3-026534,2013/03/26 00:00:00+00,1334,"N 27,T to VINE",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,2126
B3-025787,2013/03/24 00:00:00+00,345,"W O,W 22 to HOMESTEAD",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2127
B3-025020,2013/03/21 00:00:00+00,955,S 84 at VAN DORN,INJURY,RAN OFF ROAD,2,1,NO,NO,NO,NO,NO,NO,NO,2128
B3-024363,2013/03/21 00:00:00+00,757,"L,S 17 to S 18",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2129
B3-027871,2013/03/30 00:00:00+00,2218,"RANDOLPH BYPASS,S 21 to S 23",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,2130
B3-023615,2013/03/18 00:00:00+00,1531,"BUFFALO CREEK,EAGLE RIDGE CR to BEAVER CREEK LN",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2131
B3-028838,2013/04/01 00:00:00+00,1655,"NW 48,I 80 to W O",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2132
B3-026537,2013/03/26 00:00:00+00,1410,"S 70,A to SUMNER",NON-INJ,REAR END,4,0,NO,NO,NO,NO,NO,YES,NO,2133
B3-027220,2013/03/28 00:00:00+00,1712,"SW 31,W PEACH to W SUMNER",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,YES,NO,2134
B3-025795,2013/03/24 00:00:00+00,715,"PRAIRIEVIEW DR,N 34 to SALINE DR",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2135
B3-025031,2013/03/21 00:00:00+00,956,S 27 at JAMESON NORTH,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2136
B3-024370,2013/03/21 00:00:00+00,750,"S 27,JAMESON NORTH to TIERRA",NON-INJ,OTHER,3,0,NO,NO,NO,NO,NO,NO,NO,2137
B3-027888,2013/03/31 00:00:00+00,109,"S 14,GALLOWAY to ABERDEEN",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,2138
B3-023623,2013/03/18 00:00:00+00,9999,"ELK RIDGE RD,S 44 to S 45",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2139
B3-028846,2013/04/01 00:00:00+00,1736,"C,S 16 to S 17",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2140
B3-026541,2013/03/26 00:00:00+00,1448,S 14 at GARRET LN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2141
B3-027229,2013/03/28 00:00:00+00,1730,N 14 at SUPERIOR,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2142
B3-025810,2013/03/24 00:00:00+00,730,"CORNHUSKER,N 11 to N 14",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2143
B3-024386,2013/03/21 00:00:00+00,800,N 27 at SUPERIOR,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2144
B3-028856,2013/04/01 00:00:00+00,9999,"CABLE,ANAHEIM to S 34",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2145
B3-026547,1970/01/01 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,UNKNOWN,2,0,NO,NO,NO,NO,NO,NO,NO,2146
B3-025044,2013/03/21 00:00:00+00,820,"W VAN DORN,S CODDINGTON to SW 16",INJURY,RAN OFF ROAD,1,2,NO,NO,NO,NO,NO,NO,NO,2147
B3-027890,2013/03/31 00:00:00+00,215,941 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2148
B3-023647,2013/03/18 00:00:00+00,1626,"S 40,FRANKLIN to SOUTH",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,2149
B3-027240,2013/03/28 00:00:00+00,1845,N 63 at MORRILL,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2150
B3-024391,2013/03/21 00:00:00+00,809,S 37 at HIGH,INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,2151
B3-028874,2013/04/01 00:00:00+00,1800,"S 10,A to WASHINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2152
B3-025829,2013/03/24 00:00:00+00,440,"BALDWIN,N 45 to N 46",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2153
