DATE,TIME,RACE,SEX,REASON,OUTCOME,SEARCH,FID
2017/01/05 00:00:00+00,00:44:XX,1,2,1,3,5,331
2017/01/05 00:00:00+00,00:45:XX,2,1,1,1,1,332
2017/01/05 00:00:00+00,00:48:XX,1,1,1,2,1,333
2017/01/05 00:00:00+00,00:49:XX,1,1,1,1,1,334
2017/01/05 00:00:00+00,01:10:XX,1,2,1,1,1,335
2017/01/05 00:00:00+00,02:30:XX,1,1,1,1,1,336
2017/01/05 00:00:00+00,02:59:XX,1,1,1,1,1,337
2017/01/05 00:00:00+00,03:06:XX,1,1,1,1,1,338
2017/01/05 00:00:00+00,03:40:XX,1,1,1,5,1,339
2017/01/05 00:00:00+00,05:45:XX,1,1,1,5,1,340
2017/01/05 00:00:00+00,06:11:XX,1,2,1,1,1,341
2017/01/05 00:00:00+00,07:33:XX,1,1,1,1,1,342
2017/01/05 00:00:00+00,08:07:XX,1,2,1,2,1,343
2017/01/05 00:00:00+00,08:24:XX,1,2,1,2,1,344
2017/01/05 00:00:00+00,08:29:XX,1,1,1,2,1,345
2017/01/05 00:00:00+00,08:33:XX,1,2,1,2,1,346
2017/01/05 00:00:00+00,08:45:XX,1,2,1,2,1,347
2017/01/05 00:00:00+00,08:48:XX,2,2,1,2,1,348
2017/01/05 00:00:00+00,09:00:XX,1,1,1,2,1,349
2017/01/05 00:00:00+00,09:06:XX,1,1,1,1,1,350
2017/01/04 00:00:00+00,09:32:XX,1,2,1,2,1,351
2017/01/04 00:00:00+00,09:38:XX,1,2,1,1,1,352
2017/01/04 00:00:00+00,09:51:XX,1,2,1,2,1,353
2017/01/04 00:00:00+00,09:55:XX,1,1,1,2,1,354
2017/01/04 00:00:00+00,10:11:XX,1,2,1,2,1,355
2017/01/04 00:00:00+00,10:14:XX,1,2,1,2,1,356
2017/01/04 00:00:00+00,10:23:XX,1,2,1,2,1,357
2017/01/04 00:00:00+00,10:26:XX,1,2,1,2,1,358
2017/01/04 00:00:00+00,10:32:XX,2,2,1,1,1,359
2017/01/04 00:00:00+00,10:33:XX,1,1,1,1,1,360
2017/01/04 00:00:00+00,10:33:XX,1,1,1,2,1,361
2017/01/04 00:00:00+00,10:35:XX,1,2,1,2,1,362
2017/01/04 00:00:00+00,10:35:XX,1,1,1,2,1,363
2017/01/04 00:00:00+00,10:38:XX,1,2,1,1,1,364
2017/01/04 00:00:00+00,10:43:XX,1,1,1,1,1,365
2017/01/04 00:00:00+00,10:49:XX,1,1,1,2,1,366
2017/01/04 00:00:00+00,10:59:XX,2,2,1,2,1,367
2017/01/04 00:00:00+00,11:02:XX,1,1,1,5,1,368
2017/01/04 00:00:00+00,11:08:XX,1,2,1,2,1,369
2017/01/04 00:00:00+00,11:10:XX,1,1,1,2,1,370
2017/01/04 00:00:00+00,11:15:XX,1,2,1,1,1,371
2017/01/04 00:00:00+00,11:21:XX,1,1,1,2,1,372
2017/01/04 00:00:00+00,11:29:XX,1,1,1,2,1,373
2017/01/04 00:00:00+00,11:50:XX,1,1,1,1,1,374
2017/01/04 00:00:00+00,11:50:XX,1,1,1,5,1,375
2017/01/04 00:00:00+00,12:40:XX,1,1,1,1,1,376
2017/01/04 00:00:00+00,13:14:XX,1,2,1,2,1,377
2017/01/04 00:00:00+00,13:15:XX,1,1,1,2,1,378
2017/01/04 00:00:00+00,13:18:XX,1,1,1,2,1,379
2017/01/04 00:00:00+00,13:28:XX,1,2,1,2,1,380
2017/01/04 00:00:00+00,13:30:XX,1,1,1,2,1,381
2017/01/04 00:00:00+00,13:31:XX,1,2,1,2,1,382
2017/01/04 00:00:00+00,13:31:XX,1,1,1,2,1,383
2017/01/04 00:00:00+00,13:45:XX,1,2,1,2,1,384
2017/01/04 00:00:00+00,13:45:XX,1,1,1,4,1,385
2017/01/04 00:00:00+00,13:49:XX,1,1,1,2,1,386
2017/01/04 00:00:00+00,13:49:XX,1,2,1,1,1,387
2017/01/04 00:00:00+00,13:50:XX,6,1,1,2,1,388
2017/01/04 00:00:00+00,13:55:XX,1,2,1,2,1,389
2017/01/04 00:00:00+00,14:02:XX,2,2,1,2,1,390
2017/01/04 00:00:00+00,14:10:XX,1,1,1,2,1,391
2017/01/04 00:00:00+00,14:11:XX,1,1,1,1,1,392
2017/01/04 00:00:00+00,14:12:XX,2,1,1,1,1,393
2017/01/04 00:00:00+00,14:20:XX,1,1,1,2,1,394
2017/01/04 00:00:00+00,14:23:XX,1,2,1,1,1,395
2017/01/04 00:00:00+00,14:27:XX,1,1,1,1,1,396
2017/01/04 00:00:00+00,14:30:XX,1,1,1,2,1,397
2017/01/04 00:00:00+00,14:32:XX,1,1,1,2,1,398
2017/01/04 00:00:00+00,14:35:XX,1,1,1,1,1,399
2017/01/04 00:00:00+00,14:36:XX,1,1,1,2,1,400
2017/01/07 00:00:00+00,10:08:XX,1,1,1,1,1,401
2017/01/07 00:00:00+00,10:13:XX,1,2,1,2,1,402
2017/01/07 00:00:00+00,10:19:XX,1,2,1,2,1,403
2017/01/07 00:00:00+00,10:31:XX,1,1,1,1,4,404
2017/01/05 00:00:00+00,09:07:XX,3,1,1,2,1,405
