RKY,DOA,TOA,FIXTIME,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId,ObjectId2
B8-003212,2018/01/12 06:00:00+00,740,07:40:00,"BALDWIN,N 56 to N 57",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,150
B8-001246,2018/01/05 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,151
B8-001270,2018/01/05 06:00:00+00,1504,03:04:00,PINE LAKE at S 14,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,152
B8-001279,2018/01/05 06:00:00+00,,12:00:00,"NW 7,LESTER to BRIDGER",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,153
B8-001286,2018/01/05 06:00:00+00,,12:00:00,4501 TRANQUILITY at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,154
B8-001304,2018/01/05 06:00:00+00,1613,04:13:00,S 46 at J,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,155
B8-001309,2018/01/05 06:00:00+00,1630,04:30:00,"S 56,HIGH to NEERPARK",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,156
B8-001325,2018/01/05 06:00:00+00,,12:00:00,"5633 S 31,PARKING LOT to APT COMPLEX",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,157
B8-001326,2018/01/05 06:00:00+00,1715,05:15:00,"S 27,JAMESON NORTH to TIERRA",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,,158
B8-001337,2018/01/05 06:00:00+00,1742,05:42:00,"HOMESTEAD EXP,ROSA PARKS WAY to W O",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,159
B8-001338,2018/01/05 06:00:00+00,,12:00:00,"5401 SOUTH,MADONNA CARE CTR to PARKING LOT",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,160
B8-001339,2018/01/05 06:00:00+00,1753,05:53:00,"N 48,TARGET DR to R",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,161
B8-001343,2018/01/05 06:00:00+00,1730,05:30:00,"S 48,UNION HILL RD to COUNTRY HILL RD",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,162
B8-001368,2018/01/05 06:00:00+00,1938,07:38:00,"B,S 25 to S 26",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,163
B8-001372,2018/01/05 06:00:00+00,1645,04:45:00,6800 S 70 at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,164
B8-001381,2018/01/05 06:00:00+00,2043,08:43:00,"L,S 14 to S 16",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,165
B8-001392,2018/01/05 06:00:00+00,2145,09:45:00,"NORMAL,MYRTLE to S 48",INJURY,TURNING,3,2,NO,NO,NO,NO,NO,YES,NO,,166
B8-001401,2018/01/05 06:00:00+00,,12:00:00,"C,S 19 to S 20",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,,167
B8-001404,2018/01/05 06:00:00+00,2215,10:15:00,"N 14,INDIGO RD to MORTON",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,168
B8-001410,2018/01/06 06:00:00+00,,12:00:00,"HOLDREGE,N 70 to N 71",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,169
B8-001463,2018/01/06 06:00:00+00,,12:00:00,"SOUTHWOOD DR,GRASSRIDGE to NEBR HWY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,170
B8-001464,2018/01/06 06:00:00+00,350,03:50:00,2811 N 48 at KWIK SHOP,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,171
B8-001471,2018/01/06 06:00:00+00,518,05:18:00,"S 70,A to TETON",NON-INJ,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,,172
B8-001495,2018/01/06 06:00:00+00,1000,10:00:00,710 J at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,,173
B8-001522,2018/01/06 06:00:00+00,1240,12:40:00,"S FOLSOM,ROSA PARKS WAY to W E",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,174
B8-001524,2018/01/06 06:00:00+00,1250,12:50:00,S 56 at BANCROFT,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,175
B8-001531,2018/01/06 06:00:00+00,1300,01:00:00,S 13 at WASHINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,176
B8-001532,2018/01/06 06:00:00+00,1310,01:10:00,"N 9,Q to R",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,177
B8-001539,2018/01/06 06:00:00+00,1400,02:00:00,O at COTNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,178
B8-001540,2018/01/06 06:00:00+00,1410,02:10:00,"N 59,MADISON to ST PAUL",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,179
B8-001550,2018/01/06 06:00:00+00,1457,02:57:00,"OLD CHENEY,WARLICK to S 14",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,YES,NO,,180
B8-001567,2018/01/06 06:00:00+00,1618,04:18:00,"I 80,N 27 to CITY LIMITS WEST",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,181
B8-001579,2018/01/06 06:00:00+00,,12:00:00,1001 SOUTH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,182
B8-001597,2018/01/06 06:00:00+00,1820,06:20:00,"BALDWIN,N 37 to N 38",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,183
B8-001599,2018/01/06 06:00:00+00,1833,06:33:00,N 62 at AYLESWORTH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,184
B8-001607,2018/01/06 06:00:00+00,1750,05:50:00,"VINE,N 23 to N 23",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,185
B8-001642,2018/01/06 06:00:00+00,2227,10:27:00,"N 9,R to S",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,186
B8-001674,2018/01/07 06:00:00+00,,12:00:00,2000 G at -,NON-INJ H&R,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,,187
B8-001695,2018/01/07 06:00:00+00,,12:00:00,"GREENWOOD,N 43 to N 44",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,188
B8-001704,2018/01/07 06:00:00+00,,12:00:00,4800 NW PEMBERLY at -,INJURY,,2,1,NO,NO,NO,NO,NO,YES,NO,,189
B8-001710,2018/01/07 06:00:00+00,240,02:40:00,"S 18,M to N",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,190
B8-001714,2018/01/07 06:00:00+00,250,02:50:00,"CAPITOL PKWY,J to RANDOLPH",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,191
B8-001727,2018/01/07 06:00:00+00,530,05:30:00,"N 48,TARGET DR to O",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,192
B8-001741,2018/01/07 06:00:00+00,920,09:20:00,"O,17 to 18",INJURY,RAN OFF ROAD,1,3,NO,NO,NO,NO,NO,NO,NO,,193
B8-001743,2018/01/06 06:00:00+00,910,09:10:00,"S 14,OLD CHENEY to ITI DR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,194
B8-001763,2018/01/07 06:00:00+00,,12:00:00,"S 48,J to L",NON-INJ H&R,UNKNOWN,1,0,NO,NO,NO,NO,NO,NO,NO,,195
B8-001776,2018/01/07 06:00:00+00,1233,12:33:00,"N 70,MARCIA to VINE",INJURY,DRIVEWAY,2,2,NO,NO,NO,NO,NO,NO,NO,,196
B8-001779,2018/01/07 06:00:00+00,1230,12:30:00,"S 10,HIGH to VAN DORN",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,197
B8-001788,2018/01/07 06:00:00+00,1315,01:15:00,"SUGAR CREEK RD,BEAVER CREEK LN to ALLEN",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,198
B8-001789,2018/01/07 06:00:00+00,1246,12:46:00,"WASHINGTON,S 10 to S 11",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,199
B8-001790,2018/01/07 06:00:00+00,1327,01:27:00,"HOLDREGE,GRACE to N 32",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,200
B8-004039,2018/01/07 06:00:00+00,1030,10:30:00,"KESSLER,DUNN to HOLLY",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,201
B8-004045,2018/01/14 06:00:00+00,,12:00:00,"SW LACEY LN,W KYLE LN to W SUMNER",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,202
B8-004048,2018/01/15 06:00:00+00,1137,11:37:00,S 48 at VAN DORN,INJURY,TURNING,4,1,NO,NO,NO,NO,NO,YES,NO,,203
B8-004064,2018/01/15 06:00:00+00,1235,12:35:00,"S 27,CINDY to OLD CHENEY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,204
B8-004066,2018/01/15 06:00:00+00,1240,12:40:00,"O,66 to 68",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,205
B8-004079,2018/01/15 06:00:00+00,1215,12:15:00,"N 48,CLEVELAND to MADISON",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,206
B8-004100,2018/01/15 06:00:00+00,1517,03:17:00,"S 11,L to M",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,207
B8-004116,2018/01/15 06:00:00+00,,12:00:00,"HAWKFLY RD,N 12 to N 13",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,208
B8-004126,2018/01/15 06:00:00+00,1631,04:31:00,"W BENTON,MICHAEL CR to NW 52",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,209
B8-004128,2018/01/15 06:00:00+00,1630,04:30:00,"N 70,FREMONT to YOSEMITE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,210
B8-004129,2018/01/12 06:00:00+00,1515,03:15:00,"S 16,PROSPECT to SUMNER",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,,211
B8-000659,2018/01/03 06:00:00+00,1015,10:15:00,3291 HOLDREGE at CASEYS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,212
B8-003225,2018/01/12 06:00:00+00,920,09:20:00,"N 54,CLEVELAND to MADISON",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,,213
B8-000665,2018/01/02 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,1,0,NO,NO,NO,NO,NO,YES,NO,,214
B8-000682,2018/01/03 06:00:00+00,1121,11:21:00,N 31 at P,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,215
B8-000688,2018/01/03 06:00:00+00,1200,12:00:00,"NW 48,AIR PARK RD to W KNIGHT",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,216
B8-000716,2018/01/03 06:00:00+00,1425,02:25:00,"SOUTH,DEVONSHIRE to OLD POST",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,217
B8-000729,2018/01/03 06:00:00+00,1502,03:02:00,"N 27,APPLE to Y",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,218
B8-000733,2018/01/03 06:00:00+00,,12:00:00,"S 2,A to B",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,219
B8-000744,2018/01/03 06:00:00+00,1414,02:14:00,"GOODHUE BLVD,D to E",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,220
B8-000764,2018/01/03 06:00:00+00,1730,05:30:00,"O,46 to 48",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,221
B8-000788,2018/01/03 06:00:00+00,,12:00:00,"W PLUM,TIMBER RIDGE to SW 34",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,222
B8-001792,2018/01/07 06:00:00+00,1335,01:35:00,"N 56,T to VINE",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,223
B8-000792,2018/01/03 06:00:00+00,1910,07:10:00,"S 56,CUMBERLAND to SHADOW PINES DR",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,,224
B8-000803,2018/01/03 06:00:00+00,,12:00:00,"HARRISON,S 10 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,225
B8-000804,2018/01/03 06:00:00+00,1950,07:50:00,S 70 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,,226
B8-000829,2018/01/03 06:00:00+00,2200,10:00:00,S 33 at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,227
B8-000834,2018/01/03 06:00:00+00,2213,10:13:00,S 9 at VAN DORN,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,,228
B8-000876,2018/01/04 06:00:00+00,,12:00:00,"BRIARPARK,BODIE to HALLCLIFFE RD",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,YES,NO,,229
B8-000880,2018/01/04 06:00:00+00,420,04:20:00,"Q,N 13 to N 14",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,230
B8-003232,2018/01/12 06:00:00+00,930,09:30:00,N 29 at CLINTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,231
B8-000887,2018/01/04 06:00:00+00,,12:00:00,"I 80,I 180 to NW 12",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,232
B8-003253,2018/01/12 06:00:00+00,1125,11:25:00,"PORTER RIDGE,S 27 to S 28",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,233
B8-000894,2018/01/04 06:00:00+00,655,06:55:00,"HOLDREGE,N 56 to N 57",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,234
B8-003255,2018/01/12 06:00:00+00,1130,11:30:00,"NORMAL,A to S 33",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,,235
B8-000897,2018/01/04 06:00:00+00,735,07:35:00,"S 10,A to WASHINGTON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,236
B8-003286,2018/01/12 06:00:00+00,1310,01:10:00,CORNHUSKER at N 23,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,237
B8-000902,2018/01/04 06:00:00+00,758,07:58:00,"S ANTELOPE VALL,N to O",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,238
B8-003287,2018/01/12 06:00:00+00,1325,01:25:00,"OLD CHENEY,S 34 to VILLAGE BLVD",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,,239
B8-000917,2018/01/04 06:00:00+00,835,08:35:00,"DAHLBERG DR,S 14 to S 16",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,240
B8-003288,2018/01/12 06:00:00+00,1205,12:05:00,"N 50,CLEVELAND to MADISON",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,241
B8-000938,2018/01/04 06:00:00+00,1113,11:13:00,S 11 at LINCOLN MALL,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,242
B8-003300,2018/01/12 06:00:00+00,1355,01:55:00,"O,68 to 70",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,,243
B8-000949,2018/01/04 06:00:00+00,1208,12:08:00,"W O,S CODDINGTON to W 20",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,244
B8-003302,2018/01/12 06:00:00+00,1420,02:20:00,N 12 at P,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,245
B8-000965,2018/01/04 06:00:00+00,1249,12:49:00,2555 O ST at EZ GO,INJURY H&R,,1,1,YES,NO,NO,NO,NO,NO,NO,,246
B8-003305,2018/01/12 06:00:00+00,1426,02:26:00,"CAMPBELL,EVERGREEN to TETON",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,YES,,247
B8-000971,2018/01/04 06:00:00+00,1320,01:20:00,SW 8 at W GARFIELD,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,248
B8-000975,2018/01/04 06:00:00+00,1255,12:55:00,547 N 48 at -,INJURY,,1,1,YES,NO,NO,NO,NO,NO,NO,,249
B8-000983,2018/01/04 06:00:00+00,1432,02:32:00,N 25 at U,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,250
B8-000988,2018/01/03 06:00:00+00,745,07:45:00,7930 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,251
B8-002243,2018/01/08 06:00:00+00,,12:00:00,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,252
B8-002270,2018/01/09 06:00:00+00,125,01:25:00,"GARFIELD,S 15 to S 16",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,253
B8-001805,2018/01/07 06:00:00+00,1353,01:53:00,3300 O ST at STARBUCKS,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,254
B8-002298,2018/01/09 06:00:00+00,705,07:05:00,"NEBR HWY,S 14 to BROWER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,255
B8-001811,2018/01/07 06:00:00+00,1402,02:02:00,4400 O ST at KWIK SHOP,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,,256
B8-002300,2018/01/09 06:00:00+00,710,07:10:00,N 40 at MADISON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,257
B8-001818,2018/01/06 06:00:00+00,,12:00:00,"S 19,D to E",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,258
B8-002307,2018/01/09 06:00:00+00,746,07:46:00,S 17 at L,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,,259
B8-001825,2018/01/07 06:00:00+00,1608,04:08:00,"S 27,M to N",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,260
B8-002309,2018/01/09 06:00:00+00,748,07:48:00,"S 10,L to M",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,261
B8-001838,2018/01/07 06:00:00+00,1641,04:41:00,"S 27,M to N",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,,262
B8-001854,2018/01/07 06:00:00+00,1743,05:43:00,"OLD CHENEY,S 45 to S 48",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,263
B8-001863,2017/12/22 06:00:00+00,,12:00:00,6100 O ST at GATEWAY MALL,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,,264
B8-001869,2018/01/07 06:00:00+00,1804,06:04:00,"S 21,C to D",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,265
B8-001886,2018/01/07 06:00:00+00,1936,07:36:00,N 56 at HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,266
B8-003664,2018/01/13 06:00:00+00,2003,08:03:00,"N CODDINGTON,W Q to W S",INJURY H&R,PARKED,2,1,NO,NO,NO,NO,NO,NO,NO,,267
B8-001911,2018/01/07 06:00:00+00,2114,09:14:00,"GARFIELD,S 19 to S 20",INJURY,HEAD ON,2,1,NO,NO,NO,NO,NO,NO,NO,,268
B8-003679,2018/01/13 06:00:00+00,2106,09:06:00,N 20 at KNOX,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,269
B8-003684,2018/01/13 06:00:00+00,2133,09:33:00,46 at O,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,,270
B8-003711,2018/01/13 06:00:00+00,2330,11:30:00,S 10 at SOUTH,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,,271
B8-003716,2018/01/13 06:00:00+00,2347,11:47:00,"NW 48,W HOLDREGE to W GARY GATELY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,272
B8-003721,2018/01/14 06:00:00+00,5,12:05:00,"HIGH,S 48 to S 51",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,273
B8-003727,2018/01/14 06:00:00+00,19,12:19:00,"S 56,MELROSE to PAWNEE",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,YES,NO,,274
B8-003731,2018/01/14 06:00:00+00,30,12:30:00,"S 48,ANTELOPE CREEK to VAN DORN",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,275
B8-003735,2018/01/14 06:00:00+00,52,12:52:00,"PINE LAKE,GLASS RIDGE DR to LACROIX DR",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,276
B8-003750,2018/01/14 06:00:00+00,204,02:04:00,N 70 at HOLDREGE,INJURY,TURNING,2,3,NO,NO,NO,NO,NO,NO,NO,,277
B8-003756,2018/01/14 06:00:00+00,228,02:28:00,"N 16,P to Q",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,,278
B8-003762,2018/01/14 06:00:00+00,253,02:53:00,N 44 at X,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,279
B8-003767,2018/01/14 06:00:00+00,229,02:29:00,"N 27,TICONDEROGA to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,280
B8-003772,2018/01/14 06:00:00+00,335,03:35:00,"HOMESTEAD EXP,WARLICK to CITY LIMITS",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,,281
B8-003781,2018/01/14 06:00:00+00,720,07:20:00,"HOMESTEAD EXP,ROSA PARKS WAY to W VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,282
B8-003784,2018/01/14 06:00:00+00,810,08:10:00,"CORNHUSKER,N 27 to STATE FAIR PARK",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,,283
B8-003785,2018/01/14 06:00:00+00,810,08:10:00,"I 80,NW 12 to HOMESTEAD EXP",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,,284
B8-003788,2018/01/14 06:00:00+00,825,08:25:00,4400 S 33 at PARKING LOT,NON-INJ,,3,0,NO,NO,NO,NO,NO,NO,NO,,285
B8-003789,2018/01/14 06:00:00+00,830,08:30:00,S 51 at SHERMAN,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,286
B8-003793,2018/01/14 06:00:00+00,926,09:26:00,S 44 at HIGH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,287
B8-003794,2018/01/14 06:00:00+00,100,01:00:00,"S 6,ROSE to PEACH",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,288
B8-003800,2018/01/14 06:00:00+00,955,09:55:00,"PINE LAKE,S 27 to S 28",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,289
B8-003810,2018/01/14 06:00:00+00,1045,10:45:00,"NEBR HWY,S 87 to S 91",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,,290
B8-003827,2018/01/14 06:00:00+00,1220,12:20:00,70 at O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,291
B8-003829,2018/01/14 06:00:00+00,1310,01:10:00,S 9 at K,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,,292
B8-003836,2018/01/14 06:00:00+00,,12:00:00,"N 25,DUDLEY to HOLDREGE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,293
B8-003838,2018/01/14 06:00:00+00,1328,01:28:00,"N ANTELOPE VALL,DAWES to SAUNDERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,294
B8-003847,2018/01/14 06:00:00+00,1355,01:55:00,S COTNER at A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,,295
B8-003856,2018/01/14 06:00:00+00,1441,02:41:00,13 at O,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,,296
B8-003873,2018/01/14 06:00:00+00,,12:00:00,"CANOPY ST,P to O",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,,297
B8-003907,2018/01/14 06:00:00+00,1836,06:36:00,"WORTHINGTON,BROWER to CONNIE",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,298
B8-003913,2018/01/14 06:00:00+00,,12:00:00,CORNHUSKER at N 23,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,,299
B8-003916,2018/01/14 06:00:00+00,,12:00:00,220 N 66 ST at MARCUS THEATRES,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,,300
B8-003927,2018/01/14 06:00:00+00,2009,08:09:00,"O,16 to CENTENNIAL MALL",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,301
B8-003954,2018/01/14 06:00:00+00,2259,10:59:00,"S 9,PLUM to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,302
B8-003969,2018/01/15 06:00:00+00,15,12:15:00,"A,S 13 to S 14",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,,303
B8-004016,2018/01/15 06:00:00+00,750,07:50:00,"I 80,HOMESTEAD EXP to NW 48",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,,304
B8-004022,2018/01/15 06:00:00+00,823,08:23:00,"S 29,PINE LAKE to PORTER RIDGE",INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,,305
B8-004024,2018/01/15 06:00:00+00,832,08:32:00,"N 11,O to P",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,YES,,306
B8-002315,2018/01/09 06:00:00+00,807,08:07:00,S 14 at VAVRINA BLVD,NON-INJ,TURNING,3,0,NO,NO,NO,NO,NO,NO,NO,,307
B8-002316,2018/01/09 06:00:00+00,816,08:16:00,"S 48,NEBR HWY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,,308
